 written on 17Jul2025 at 15:26:56 
          22
          91
    3    2    1    1    2    2    1    1    1    1    1    2    3    1    1
    1    1    1    1    1    1    3    1    1    1    1    1    1    1    1
    1    2    1    1    1    1    1    1    1    1    2    1    1    1    1
    1    1    1    1    1    2    1    1    1    1    1    1    1    1    2
    1    1    1    1    1    1    1    1    1    3    1    1    1    1    1
    1    1    1    3    2    1    1    1    1    1    2    2    1    1    2
    3
   -4   -1    0    2   22   -0.000110    0.000014
   -4   -1    0    3   22    0.000017    0.000001
   -4   -1    0    4   22    0.000121   -0.000006
   -4   -1    0    5   22   -0.000000   -0.000005
   -4   -1    0    6   22    0.000353    0.000016
   -4   -1    0    7   22   -0.000015    0.000001
   -4   -1    0    8   22    0.000110   -0.000014
   -4   -1    0    9   22   -0.000017   -0.000001
   -4   -1    0   10   22    0.000121   -0.000006
   -4   -1    0   11   22    0.000000    0.000005
   -4   -1    0   12   22    0.000353    0.000016
   -4   -1    0   13   22   -0.000000    0.000000
   -4   -1    0   14   22    0.000166    0.000005
   -4   -1    0   15   22   -0.000032   -0.000034
   -4   -1    0   16   22   -0.000000   -0.000000
   -4   -1    0   17   22    0.000016   -0.000037
   -4   -1    0   18   22    0.000000   -0.000000
   -4   -1    0   19   22    0.000000    0.000000
   -4   -1    0   20   22    0.000597   -0.000004
   -4   -1    0   21   22    0.000000    0.000000
   -4   -1    0   22   22   -0.000533    0.000003
   -4    0    0    1    1   -0.000743    0.000007
   -4    0    0    2    1   -0.000016   -0.000029
   -4    0    0    3    1   -0.000214    0.000004
   -4    0    0    4    1   -0.000006   -0.000004
   -4    0    0    5    1   -0.000275    0.000018
   -4    0    0    6    1   -0.000004   -0.000019
   -4    0    0    7    1    0.000614   -0.000003
   -4    0    0    8    1   -0.000005    0.000003
   -4    0    0    9    1   -0.000490    0.000009
   -4    0    0   10    1   -0.000004   -0.000005
   -4    0    0   11    1   -0.000400    0.000021
   -4    0    0   12    1   -0.000017    0.000003
   -4    0    0   13    1   -0.000477   -0.000000
   -4    0    0   14    1   -0.000001    0.000001
   -4    0    0   15    1   -0.000212   -0.000003
   -4    0    0   16    1   -0.000009    0.000025
   -4    0    0   17    1    0.000122   -0.000004
   -4    0    0   18    1    0.000025    0.000021
   -4    0    0   19    1   -0.000474   -0.000000
   -4    0    0   20    1    0.000003    0.000011
   -4    0    0   21    1    0.000821   -0.000000
   -4    0    0   22    1    0.000007    0.000003
   -4    0    0    1    2    0.000016   -0.000029
   -4    0    0    2    2   -0.000743   -0.000007
   -4    0    0    3    2    0.000006   -0.000004
   -4    0    0    4    2   -0.000214   -0.000004
   -4    0    0    5    2    0.000004   -0.000019
   -4    0    0    6    2   -0.000275   -0.000018
   -4    0    0    7    2    0.000005    0.000003
   -4    0    0    8    2    0.000614    0.000003
   -4    0    0    9    2    0.000004   -0.000005
   -4    0    0   10    2   -0.000490   -0.000009
   -4    0    0   11    2    0.000017    0.000003
   -4    0    0   12    2   -0.000400   -0.000021
   -4    0    0   13    2    0.000001    0.000001
   -4    0    0   14    2   -0.000477    0.000000
   -4    0    0   15    2    0.000009    0.000025
   -4    0    0   16    2   -0.000212    0.000003
   -4    0    0   17    2   -0.000025    0.000021
   -4    0    0   18    2    0.000122    0.000004
   -4    0    0   19    2   -0.000003    0.000011
   -4    0    0   20    2   -0.000474    0.000001
   -4    0    0   21    2   -0.000007    0.000003
   -4    0    0   22    2    0.000821    0.000000
   -4    0    0    1    3    0.000131   -0.000014
   -4    0    0    2    3    0.000012    0.000007
   -4    0    0    3    3    0.000637   -0.000006
   -4    0    0    4    3    0.000002   -0.000002
   -4    0    0    5    3    0.001485    0.000008
   -4    0    0    6    3    0.000008    0.000010
   -4    0    0    7    3   -0.000102    0.000014
   -4    0    0    8    3   -0.000011    0.000009
   -4    0    0    9    3    0.000122   -0.000003
   -4    0    0   10    3    0.000011    0.000004
   -4    0    0   11    3    0.000128    0.000000
   -4    0    0   12    3    0.000029   -0.000011
   -4    0    0   13    3   -0.000275    0.000000
   -4    0    0   14    3   -0.000001   -0.000005
   -4    0    0   15    3    0.000403    0.000001
   -4    0    0   16    3    0.000006   -0.000015
   -4    0    0   17    3    0.000374    0.000003
   -4    0    0   18    3   -0.000009    0.000008
   -4    0    0   19    3   -0.000030   -0.000003
   -4    0    0   20    3    0.000008    0.000000
   -4    0    0   21    3    0.000285   -0.000001
   -4    0    0   22    3   -0.000012   -0.000002
   -4    0    0    1    4   -0.000012    0.000007
   -4    0    0    2    4    0.000131    0.000014
   -4    0    0    3    4   -0.000002   -0.000002
   -4    0    0    4    4    0.000637    0.000006
   -4    0    0    5    4   -0.000008    0.000010
   -4    0    0    6    4    0.001485   -0.000008
   -4    0    0    7    4    0.000011    0.000009
   -4    0    0    8    4   -0.000102   -0.000014
   -4    0    0    9    4   -0.000011    0.000004
   -4    0    0   10    4    0.000122    0.000003
   -4    0    0   11    4   -0.000029   -0.000011
   -4    0    0   12    4    0.000128   -0.000000
   -4    0    0   13    4    0.000001   -0.000005
   -4    0    0   14    4   -0.000275   -0.000000
   -4    0    0   15    4   -0.000006   -0.000015
   -4    0    0   16    4    0.000403   -0.000001
   -4    0    0   17    4    0.000009    0.000008
   -4    0    0   18    4    0.000374   -0.000003
   -4    0    0   19    4   -0.000008    0.000000
   -4    0    0   20    4   -0.000030    0.000003
   -4    0    0   21    4    0.000012   -0.000002
   -4    0    0   22    4    0.000285    0.000001
   -4    0    0    1    5    0.000323   -0.000012
   -4    0    0    2    5    0.000008    0.000012
   -4    0    0    3    5    0.001999   -0.000035
   -4    0    0    4    5    0.000027    0.000045
   -4    0    0    5    5    0.002649   -0.000022
   -4    0    0    6    5    0.000016    0.000033
   -4    0    0    7    5   -0.000624    0.000018
   -4    0    0    8    5   -0.000003    0.000012
   -4    0    0    9    5   -0.000300   -0.000007
   -4    0    0   10    5   -0.000025    0.000020
   -4    0    0   11    5    0.000022   -0.000007
   -4    0    0   12    5    0.000002   -0.000011
   -4    0    0   13    5    0.000159    0.000000
   -4    0    0   14    5   -0.000005   -0.000006
   -4    0    0   15    5    0.000374   -0.000002
   -4    0    0   16    5   -0.000017   -0.000006
   -4    0    0   17    5    0.000834   -0.000001
   -4    0    0   18    5    0.000004    0.000009
   -4    0    0   19    5    0.000250    0.000001
   -4    0    0   20    5    0.000003    0.000008
   -4    0    0   21    5   -0.000030    0.000003
   -4    0    0   22    5   -0.000001   -0.000015
   -4    0    0    1    6   -0.000008    0.000012
   -4    0    0    2    6    0.000323    0.000012
   -4    0    0    3    6   -0.000027    0.000045
   -4    0    0    4    6    0.001999    0.000035
   -4    0    0    5    6   -0.000016    0.000033
   -4    0    0    6    6    0.002649    0.000022
   -4    0    0    7    6    0.000003    0.000012
   -4    0    0    8    6   -0.000624   -0.000018
   -4    0    0    9    6    0.000025    0.000020
   -4    0    0   10    6   -0.000300    0.000007
   -4    0    0   11    6   -0.000002   -0.000011
   -4    0    0   12    6    0.000022    0.000007
   -4    0    0   13    6    0.000005   -0.000006
   -4    0    0   14    6    0.000159   -0.000000
   -4    0    0   15    6    0.000017   -0.000006
   -4    0    0   16    6    0.000374    0.000002
   -4    0    0   17    6   -0.000004    0.000009
   -4    0    0   18    6    0.000834    0.000001
   -4    0    0   19    6   -0.000003    0.000008
   -4    0    0   20    6    0.000250   -0.000001
   -4    0    0   21    6    0.000001   -0.000015
   -4    0    0   22    6   -0.000030   -0.000003
   -4    0    0    1    7    0.000614   -0.000003
   -4    0    0    2    7    0.000005   -0.000003
   -4    0    0    3    7    0.000490   -0.000009
   -4    0    0    4    7   -0.000004   -0.000005
   -4    0    0    5    7    0.000400   -0.000021
   -4    0    0    6    7   -0.000017    0.000003
   -4    0    0    7    7   -0.000743    0.000007
   -4    0    0    8    7    0.000016    0.000029
   -4    0    0    9    7    0.000214   -0.000004
   -4    0    0   10    7   -0.000006   -0.000004
   -4    0    0   11    7    0.000275   -0.000018
   -4    0    0   12    7   -0.000004   -0.000019
   -4    0    0   13    7    0.000477    0.000000
   -4    0    0   14    7   -0.000001    0.000001
   -4    0    0   15    7   -0.000212   -0.000003
   -4    0    0   16    7    0.000009   -0.000025
   -4    0    0   17    7    0.000122   -0.000004
   -4    0    0   18    7   -0.000025   -0.000021
   -4    0    0   19    7    0.000474    0.000000
   -4    0    0   20    7    0.000003    0.000011
   -4    0    0   21    7   -0.000821    0.000000
   -4    0    0   22    7    0.000007    0.000003
   -4    0    0    1    8   -0.000005   -0.000003
   -4    0    0    2    8    0.000614    0.000003
   -4    0    0    3    8    0.000004   -0.000005
   -4    0    0    4    8    0.000490    0.000009
   -4    0    0    5    8    0.000017    0.000003
   -4    0    0    6    8    0.000400    0.000021
   -4    0    0    7    8   -0.000016    0.000029
   -4    0    0    8    8   -0.000743   -0.000007
   -4    0    0    9    8    0.000006   -0.000004
   -4    0    0   10    8    0.000214    0.000004
   -4    0    0   11    8    0.000004   -0.000019
   -4    0    0   12    8    0.000275    0.000018
   -4    0    0   13    8    0.000001    0.000001
   -4    0    0   14    8    0.000477   -0.000000
   -4    0    0   15    8   -0.000009   -0.000025
   -4    0    0   16    8   -0.000212    0.000003
   -4    0    0   17    8    0.000025   -0.000021
   -4    0    0   18    8    0.000122    0.000004
   -4    0    0   19    8   -0.000003    0.000011
   -4    0    0   20    8    0.000474   -0.000000
   -4    0    0   21    8   -0.000007    0.000003
   -4    0    0   22    8   -0.000821   -0.000000
   -4    0    0    1    9    0.000102   -0.000014
   -4    0    0    2    9   -0.000011    0.000009
   -4    0    0    3    9    0.000122   -0.000003
   -4    0    0    4    9   -0.000011   -0.000004
   -4    0    0    5    9    0.000128    0.000000
   -4    0    0    6    9   -0.000029    0.000011
   -4    0    0    7    9   -0.000131    0.000014
   -4    0    0    8    9    0.000012    0.000007
   -4    0    0    9    9    0.000637   -0.000006
   -4    0    0   10    9   -0.000002    0.000002
   -4    0    0   11    9    0.001485    0.000008
   -4    0    0   12    9   -0.000008   -0.000010
   -4    0    0   13    9   -0.000275    0.000000
   -4    0    0   14    9    0.000001    0.000005
   -4    0    0   15    9   -0.000403   -0.000001
   -4    0    0   16    9    0.000006   -0.000015
   -4    0    0   17    9   -0.000374   -0.000003
   -4    0    0   18    9   -0.000009    0.000008
   -4    0    0   19    9   -0.000030   -0.000003
   -4    0    0   20    9   -0.000008   -0.000000
   -4    0    0   21    9    0.000285   -0.000001
   -4    0    0   22    9    0.000012    0.000002
   -4    0    0    1   10    0.000011    0.000009
   -4    0    0    2   10    0.000102    0.000014
   -4    0    0    3   10    0.000011   -0.000004
   -4    0    0    4   10    0.000122    0.000003
   -4    0    0    5   10    0.000029    0.000011
   -4    0    0    6   10    0.000128   -0.000000
   -4    0    0    7   10   -0.000012    0.000007
   -4    0    0    8   10   -0.000131   -0.000014
   -4    0    0    9   10    0.000002    0.000002
   -4    0    0   10   10    0.000637    0.000006
   -4    0    0   11   10    0.000008   -0.000010
   -4    0    0   12   10    0.001485   -0.000008
   -4    0    0   13   10   -0.000001    0.000005
   -4    0    0   14   10   -0.000275   -0.000000
   -4    0    0   15   10   -0.000006   -0.000015
   -4    0    0   16   10   -0.000403    0.000001
   -4    0    0   17   10    0.000009    0.000008
   -4    0    0   18   10   -0.000374    0.000003
   -4    0    0   19   10    0.000008   -0.000000
   -4    0    0   20   10   -0.000030    0.000003
   -4    0    0   21   10   -0.000012    0.000002
   -4    0    0   22   10    0.000285    0.000001
   -4    0    0    1   11    0.000624   -0.000018
   -4    0    0    2   11   -0.000003    0.000012
   -4    0    0    3   11   -0.000300   -0.000007
   -4    0    0    4   11    0.000025   -0.000020
   -4    0    0    5   11    0.000022   -0.000007
   -4    0    0    6   11   -0.000002    0.000011
   -4    0    0    7   11   -0.000323    0.000012
   -4    0    0    8   11    0.000008    0.000012
   -4    0    0    9   11    0.001999   -0.000035
   -4    0    0   10   11   -0.000027   -0.000045
   -4    0    0   11   11    0.002649   -0.000022
   -4    0    0   12   11   -0.000016   -0.000033
   -4    0    0   13   11    0.000159    0.000000
   -4    0    0   14   11    0.000005    0.000006
   -4    0    0   15   11   -0.000374    0.000002
   -4    0    0   16   11   -0.000017   -0.000006
   -4    0    0   17   11   -0.000834    0.000001
   -4    0    0   18   11    0.000004    0.000009
   -4    0    0   19   11    0.000250    0.000001
   -4    0    0   20   11   -0.000003   -0.000008
   -4    0    0   21   11   -0.000030    0.000003
   -4    0    0   22   11    0.000001    0.000015
   -4    0    0    1   12    0.000003    0.000012
   -4    0    0    2   12    0.000624    0.000018
   -4    0    0    3   12   -0.000025   -0.000020
   -4    0    0    4   12   -0.000300    0.000007
   -4    0    0    5   12    0.000002    0.000011
   -4    0    0    6   12    0.000022    0.000007
   -4    0    0    7   12   -0.000008    0.000012
   -4    0    0    8   12   -0.000323   -0.000012
   -4    0    0    9   12    0.000027   -0.000045
   -4    0    0   10   12    0.001999    0.000035
   -4    0    0   11   12    0.000016   -0.000033
   -4    0    0   12   12    0.002649    0.000022
   -4    0    0   13   12   -0.000005    0.000006
   -4    0    0   14   12    0.000159   -0.000000
   -4    0    0   15   12    0.000017   -0.000006
   -4    0    0   16   12   -0.000374   -0.000002
   -4    0    0   17   12   -0.000004    0.000009
   -4    0    0   18   12   -0.000834   -0.000001
   -4    0    0   19   12    0.000003   -0.000008
   -4    0    0   20   12    0.000250   -0.000001
   -4    0    0   21   12   -0.000001    0.000015
   -4    0    0   22   12   -0.000030   -0.000003
   -4    0    0    1   13    0.001688    0.000017
   -4    0    0    2   13   -0.000014    0.000007
   -4    0    0    3   13    0.000976    0.000020
   -4    0    0    4   13   -0.000012   -0.000015
   -4    0    0    5   13    0.000026    0.000001
   -4    0    0    6   13   -0.000009    0.000001
   -4    0    0    7   13   -0.001688   -0.000017
   -4    0    0    8   13   -0.000014    0.000007
   -4    0    0    9   13    0.000976    0.000020
   -4    0    0   10   13    0.000012    0.000015
   -4    0    0   11   13    0.000026    0.000001
   -4    0    0   12   13    0.000009   -0.000001
   -4    0    0   13   13    0.000559    0.000024
   -4    0    0   14   13   -0.000000   -0.000000
   -4    0    0   15   13    0.000000    0.000000
   -4    0    0   16   13   -0.000012    0.000010
   -4    0    0   17   13   -0.000000   -0.000000
   -4    0    0   18   13   -0.000000   -0.000003
   -4    0    0   19   13   -0.000273    0.000019
   -4    0    0   20   13   -0.000000   -0.000000
   -4    0    0   21   13   -0.000981   -0.000031
   -4    0    0   22   13   -0.000000   -0.000000
   -4    0    0    1   14    0.000013    0.000007
   -4    0    0    2   14    0.001688   -0.000017
   -4    0    0    3   14    0.000012   -0.000015
   -4    0    0    4   14    0.000976   -0.000020
   -4    0    0    5   14    0.000009    0.000001
   -4    0    0    6   14    0.000026   -0.000001
   -4    0    0    7   14    0.000013    0.000007
   -4    0    0    8   14   -0.001688    0.000017
   -4    0    0    9   14   -0.000012    0.000015
   -4    0    0   10   14    0.000976   -0.000020
   -4    0    0   11   14   -0.000009   -0.000001
   -4    0    0   12   14    0.000026   -0.000001
   -4    0    0   13   14   -0.000000   -0.000000
   -4    0    0   14   14    0.000559   -0.000024
